object,score_threshold,map_threshold,min_area_ratio,method,threshold_source,uses_ground_truth,calibration_scope
bottle,6.113035202026367,3.044040244152865,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
cable,4.746807098388672,4.661370120636404,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
capsule,2.5804691314697266,1.7935012889234987,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
carpet,3.0963497161865234,3.041027261786265,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
grid,3.3612918853759766,3.154207660260726,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
hazelnut,5.359149932861328,4.482683028726892,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
leather,4.7841644287109375,4.539089014385542,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
metal_nut,4.563810348510742,3.3433932996775964,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
pill,2.9909534454345703,2.271998501570491,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
screw,2.037822723388672,2.426710640147679,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
tile,3.4146499633789062,2.8190241340555082,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
toothbrush,7.716699600219727,3.3215893033432544,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
transistor,4.446233749389648,2.3034736769539963,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
wood,3.1587696075439453,2.236735847364899,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
zipper,2.750154495239258,1.6645447004097966,0.001,supervised_f1_quick,supervised_ds_mvtec_quick_calibration,True,object_specific
